schema_version,exception_id,workload_id,name,owner,target,wave,readiness,risk_score,exception_type,finding_code,severity,required_approval,approval_status,blocking_reason,required_action,evidence_refs,approval_ref,approved_by,approved_at,notes
nmrcp_approval_exceptions_v1,vm-2020:readiness_exception:readiness_prepare,vm-2020,erp-app-01,Business Apps,ahv,Wave 2 - Remediation Required,prepare,35,readiness_exception,readiness_prepare,high,risk_acceptance;migration_lead,approved,prepare workload requires remediation closure or formal risk acceptance.,Do not approve execution until remediation closure or explicit risk acceptance is attached.,assessment.json#vm-2020;migration-risk-register.csv#readiness_prepare;owner-signoff-matrix.csv#vm-2020;remediation-tracker.csv#vm-2020,CHG-2026-EXC-001,Migration Lead,2026-07-25T00:00:00Z,Approved for lab change-board review after remediation evidence attachment.
nmrcp_approval_exceptions_v1,vm-2020:finding_exception:snapshot_age_exceeds_policy,vm-2020,erp-app-01,Business Apps,ahv,Wave 2 - Remediation Required,prepare,35,finding_exception,snapshot_age_exceeds_policy,high,backup_owner;rollback_owner;risk_acceptance;migration_lead,approved,high finding `snapshot_age_exceeds_policy` requires approval or closure.,Consolidate aged snapshots and confirm datastore capacity before migration planning.,assessment.json#vm-2020;migration-risk-register.csv#snapshot_age_exceeds_policy;owner-signoff-matrix.csv#vm-2020;remediation-tracker.csv#vm-2020,CHG-2026-EXC-002,Migration Lead,2026-07-25T00:00:00Z,Approved for lab change-board review after backup owner acknowledgement.
nmrcp_approval_exceptions_v1,vm-3030:readiness_exception:readiness_blocked,vm-3030,payments-edge-01,Payments,ahv,Excluded Until Cleared,blocked,100,readiness_exception,readiness_blocked,critical,risk_acceptance;migration_lead,approved,blocked workload requires remediation closure or formal risk acceptance.,Do not approve execution until remediation closure or explicit risk acceptance is attached.,assessment.json#vm-3030;migration-risk-register.csv#readiness_blocked;owner-signoff-matrix.csv#vm-3030;remediation-tracker.csv#vm-3030,CHG-2026-EXC-003,Migration Lead,2026-07-25T00:00:00Z,Approved for lab change-board review with blocked workload held out of execution.
nmrcp_approval_exceptions_v1,vm-3030:high_risk_exception:risk_score_threshold,vm-3030,payments-edge-01,Payments,ahv,Excluded Until Cleared,blocked,100,high_risk_exception,risk_score_threshold,critical,risk_acceptance;migration_lead,approved,Risk score 100 requires explicit risk acceptance before migration approval.,Attach risk acceptance evidence and confirm executive or migration-lead approval.,assessment.json#vm-3030;migration-risk-register.csv#risk_score_threshold;owner-signoff-matrix.csv#vm-3030;remediation-tracker.csv#vm-3030,CHG-2026-EXC-004,Migration Lead,2026-07-25T00:00:00Z,Approved for lab change-board review with high risk workload excluded.
nmrcp_approval_exceptions_v1,vm-3030:finding_exception:nsx_dependency,vm-3030,payments-edge-01,Payments,ahv,Excluded Until Cleared,blocked,100,finding_exception,nsx_dependency,critical,network_owner;risk_acceptance;migration_lead,approved,critical finding `nsx_dependency` requires approval or closure.,"Map NSX security groups, overlays, and routing before attempting AHV cutover.",assessment.json#vm-3030;migration-risk-register.csv#nsx_dependency;owner-signoff-matrix.csv#vm-3030;remediation-tracker.csv#vm-3030,CHG-2026-EXC-005,Migration Lead,2026-07-25T00:00:00Z,Approved for lab change-board review with network owner acknowledgement.
nmrcp_approval_exceptions_v1,vm-3030:finding_exception:virtio_not_ready,vm-3030,payments-edge-01,Payments,ahv,Excluded Until Cleared,blocked,100,finding_exception,virtio_not_ready,high,application_owner;risk_acceptance;migration_lead,approved,high finding `virtio_not_ready` requires approval or closure.,Install or validate Nutanix VirtIO drivers before cutover.,assessment.json#vm-3030;migration-risk-register.csv#virtio_not_ready;owner-signoff-matrix.csv#vm-3030;remediation-tracker.csv#vm-3030,CHG-2026-EXC-006,Migration Lead,2026-07-25T00:00:00Z,Approved for lab change-board review after guest tools remediation owner assignment.
nmrcp_approval_exceptions_v1,vm-3030:finding_exception:backup_not_confirmed,vm-3030,payments-edge-01,Payments,ahv,Excluded Until Cleared,blocked,100,finding_exception,backup_not_confirmed,high,backup_owner;rollback_owner;risk_acceptance;migration_lead,approved,high finding `backup_not_confirmed` requires approval or closure.,Confirm backup success and restore point before migration approval.,assessment.json#vm-3030;migration-risk-register.csv#backup_not_confirmed;owner-signoff-matrix.csv#vm-3030;remediation-tracker.csv#vm-3030,CHG-2026-EXC-007,Migration Lead,2026-07-25T00:00:00Z,Approved for lab change-board review after backup owner acknowledgement.
nmrcp_approval_exceptions_v1,vm-3030:finding_exception:vendor_support_unconfirmed,vm-3030,payments-edge-01,Payments,ahv,Excluded Until Cleared,blocked,100,finding_exception,vendor_support_unconfirmed,high,application_owner;risk_acceptance;migration_lead,approved,high finding `vendor_support_unconfirmed` requires approval or closure.,Obtain application owner and vendor approval before scheduling migration.,assessment.json#vm-3030;migration-risk-register.csv#vendor_support_unconfirmed;owner-signoff-matrix.csv#vm-3030;remediation-tracker.csv#vm-3030,CHG-2026-EXC-008,Migration Lead,2026-07-25T00:00:00Z,Approved for lab change-board review after application owner acknowledgement.
nmrcp_approval_exceptions_v1,vm-3030:finding_exception:application_owner_approval_missing,vm-3030,payments-edge-01,Payments,ahv,Excluded Until Cleared,blocked,100,finding_exception,application_owner_approval_missing,high,application_owner;risk_acceptance;migration_lead,approved,high finding `application_owner_approval_missing` requires approval or closure.,Capture application owner approval before Move staging or remediation closure.,assessment.json#vm-3030;migration-risk-register.csv#application_owner_approval_missing;owner-signoff-matrix.csv#vm-3030;remediation-tracker.csv#vm-3030,CHG-2026-EXC-009,Migration Lead,2026-07-25T00:00:00Z,Approved for lab change-board review after owner approval workflow opened.
nmrcp_approval_exceptions_v1,vm-3030:finding_exception:rollback_owner_missing,vm-3030,payments-edge-01,Payments,ahv,Excluded Until Cleared,blocked,100,finding_exception,rollback_owner_missing,high,backup_owner;rollback_owner;risk_acceptance;migration_lead,approved,high finding `rollback_owner_missing` requires approval or closure.,Assign a rollback owner and confirm stop or backout criteria before migration approval.,assessment.json#vm-3030;migration-risk-register.csv#rollback_owner_missing;owner-signoff-matrix.csv#vm-3030;remediation-tracker.csv#vm-3030,CHG-2026-EXC-010,Migration Lead,2026-07-25T00:00:00Z,Approved for lab change-board review after rollback owner assignment.
