status,owner,wave,workload_id,workload_name,target,readiness,risk_score,severity,finding_code,recommended_action,evidence_ref,closure_ref,closed_by,closed_at,notes
closed,Payments,1,vm-2020,app-sql-01,ahv,prepare,45,medium,vds_mapping_required,Confirm target AHV network mappings before Move execution,assessment.json#/workloads/vm-2020/findings/vds_mapping_required,CHG-1001/NET-021,network-platform,2026-07-24T09:00:00Z,Target VLAN mapping approved for the payment database subnet.
closed,Payments,1,vm-2020,app-sql-01,ahv,prepare,45,medium,snapshots_present,Consolidate or remove stale snapshots before migration,assessment.json#/workloads/vm-2020/findings/snapshots_present,CHG-1001/VMW-044,virtualization-platform,2026-07-24T09:10:00Z,Snapshots reviewed and consolidation completed in source maintenance window.
closed,Payments,1,vm-2020,app-sql-01,ahv,prepare,45,medium,snapshot_age_exceeds_policy,Validate snapshot age and remove snapshots older than policy,assessment.json#/workloads/vm-2020/findings/snapshot_age_exceeds_policy,CHG-1001/VMW-045,virtualization-platform,2026-07-24T09:15:00Z,Snapshot policy exception cleared before change-board submission.
accepted,Claims,2,vm-3030,app-web-02,ahv,blocked,80,medium,guest_os_research_required,Confirm target guest OS support with vendor and Nutanix documentation,assessment.json#/workloads/vm-3030/findings/guest_os_research_required,CHG-1001/APP-081,claims-owner,2026-07-24T09:20:00Z,Application owner accepted OS support review for lab migration only.
closed,Claims,2,vm-3030,app-web-02,ahv,blocked,80,high,nsx_dependency,Document replacement network or security policy for NSX-backed workloads,assessment.json#/workloads/vm-3030/findings/nsx_dependency,CHG-1001/SEC-017,network-security,2026-07-24T09:25:00Z,Replacement microsegmentation policy attached to change evidence.
closed,Claims,2,vm-3030,app-web-02,ahv,blocked,80,medium,vds_mapping_required,Confirm target AHV network mappings before Move execution,assessment.json#/workloads/vm-3030/findings/vds_mapping_required,CHG-1001/NET-022,network-platform,2026-07-24T09:30:00Z,Target AHV network mapping reviewed with app owner.
closed,Claims,2,vm-3030,app-web-02,ahv,blocked,80,high,virtio_not_ready,Install or validate VirtIO drivers before AHV cutover,assessment.json#/workloads/vm-3030/findings/virtio_not_ready,CHG-1001/OS-063,windows-platform,2026-07-24T09:35:00Z,VirtIO readiness confirmed in pre-change maintenance window.
accepted,Claims,2,vm-3030,app-web-02,ahv,blocked,80,high,backup_not_confirmed,Confirm backup coverage and restore test before migration,assessment.json#/workloads/vm-3030/findings/backup_not_confirmed,CHG-1001/BCK-012,backup-platform,2026-07-24T09:40:00Z,Backup team accepted documented restore coverage for this wave.
accepted,Claims,2,vm-3030,app-web-02,ahv,blocked,80,medium,vendor_support_unconfirmed,Confirm vendor support or approve risk acceptance before migration,assessment.json#/workloads/vm-3030/findings/vendor_support_unconfirmed,CHG-1001/APP-082,claims-owner,2026-07-24T09:45:00Z,Owner accepted vendor-support risk for non-production validation.
closed,Claims,2,vm-3030,app-web-02,ahv,blocked,80,high,application_owner_approval_missing,Record application owner approval before change submission,assessment.json#/workloads/vm-3030/findings/application_owner_approval_missing,CHG-1001/APP-083,claims-owner,2026-07-24T09:50:00Z,Application owner approval recorded in final sign-off matrix.
closed,Claims,2,vm-3030,app-web-02,ahv,blocked,80,high,rollback_owner_missing,Assign a rollback owner before change submission,assessment.json#/workloads/vm-3030/findings/rollback_owner_missing,CHG-1001/OPS-019,migration-lead,2026-07-24T09:55:00Z,Rollback owner named and included in final sign-off matrix.
closed,Claims,2,vm-3030,app-web-02,ahv,blocked,80,medium,dependency_owner_missing,Assign dependency owner for sequenced migration validation,assessment.json#/workloads/vm-3030/findings/dependency_owner_missing,CHG-1001/APP-084,claims-owner,2026-07-24T10:00:00Z,Dependency owner confirmed for wave sequencing and validation.
